"Sector","Emissions","year",".fitted",".resid",".hat",".sigma",".cooksd",".std.resid"
"Water & Waste",52.7395,2006,50.1625268213265,2.57697317867346,0.0425315425315425,6.05839593687035,0.00433769899591216,0.441927853296552
"Water & Waste",49.2626,2007,47.7390888481887,1.52351115181135,0.0468050468050468,6.07385309053378,0.0016834410876925,0.26185356104629
"Water & Waste",43.9349,2008,45.3156508750508,-1.38075087505078,0.0522995522995523,6.07530509850637,0.00156301766450581,-0.238003584703141
"Water & Waste",39.631,2009,42.8922129019129,-3.2612129019129,0.0590150590150591,6.04336110625801,0.0099800619054858,-0.564146020782993
"Water & Waste",34.8351,2010,40.468774928775,-5.63367492877502,0.0669515669515671,5.96454788247114,0.0343647643654083,-0.978686063574958
"Water & Waste",32.8535,2011,38.0453369556371,-5.19183695563714,0.0761090761090763,5.98142940336385,0.0338387702578488,-0.906388546763429
"Water & Waste",31.4699,2012,35.6218989824993,-4.15199898249926,0.0864875864875868,6.01721291403566,0.0251545632131801,-0.728960046557753
"Water & Waste",28.5667,2013,33.1984610093614,-4.63176100936138,0.0980870980870985,6.00017120801616,0.0364210451476215,-0.818403648275985
"Water & Waste",26.6278,2014,30.7750230362226,-4.14722303622259,0.110907610907612,6.01557246367978,0.0339750247496732,-0.73805318704273
"Water & Waste",26.4167,2015,28.3515850630847,-1.93488506308471,0.124949124949126,6.0675272793924,0.00860110775243778,-0.347090106181937
"Water & Waste",26.1547,2016,25.9281470899468,0.226552910053172,0.140211640211641,6.08199513495895,0.000137062190994058,0.0409994073003954
"Transport",66.9853,1990,77.7389359605916,-10.7536359605916,0.135467980295636,8.84526584472598,0.130388259495335,-1.29004973946159
"Transport",67.4386,1991,78.3121592227699,-10.8735592227699,0.121237000547336,8.84349012817966,0.115475125728171,-1.29383087138991
"Transport",68.4385,1992,78.8853824849484,-10.4468824849484,0.108100711548979,8.87099568128535,0.0922621718881182,-1.23387301766164
"Transport",69.7352,1993,79.4586057471267,-9.72340574712675,0.0960591133004855,8.91097665404338,0.0691430713208489,-1.14074890324023
"Transport",70.6592,1994,80.0318290093053,-9.37262900930529,0.0851122058018549,8.93019752440018,0.0555689729542254,-1.09299752027675
"Transport",73.5082,1995,80.6050522714836,-7.09685227148358,0.0752599890530875,9.02278210771083,0.0275746317070168,-0.823185301300068
"Transport",79.1354,1996,81.1782755336621,-2.04287553366214,0.0665024630541831,9.13292629726403,0.00198129219820993,-0.235845169411914
"Transport",88.1592,1997,81.7514987958407,6.40770120415932,0.0588396278051418,9.04677549816368,0.0169668215726119,0.736736356796148
"Transport",93.464,1998,82.324722058019,11.139277941981,0.0522714833059635,8.8516708986527,0.0449225442574211,1.27631164752457
"Transport",91.9415,1999,82.8979453201976,9.04355467980247,0.0467980295566484,8.95305089830644,0.0262053146899074,1.03320944964781
"Transport",94.6077,2000,83.4711685823759,11.1365314176241,0.0424192665571963,8.85485832558423,0.0356915646247664,1.26941584036459
"Transport",98.3978,2001,84.0443918445544,14.3534081554456,0.0391351943076073,8.66098807918727,0.0543258247362322,1.63329848011919
"Transport",95.1354,2002,84.6176151067327,10.5177848932673,0.0369458128078813,8.88788285166016,0.0274135755435722,1.19547524929276
"Transport",95.1013,2003,85.1908383689113,9.91046163108874,0.0358511220580185,8.91708435997922,0.0235643605188603,1.12580584951772
"Transport",97.3438,2004,85.7640616310896,11.5797383689104,0.0358511220580187,8.83323911889495,0.032171060974483,1.31543188167026
"Transport",99.1379,2005,86.3372848932681,12.8006151067319,0.036945812807882,8.76261934635209,0.0406049325714167,1.45494690099783
"Transport",90.9092,2006,86.9105081554467,3.99869184455333,0.0391351943076084,9.10623619713932,0.00421630609943094,0.455017877388004
"Transport",94.8832,2007,87.483731417625,7.39946858237502,0.0424192665571978,9.0167658342426,0.015756753995012,0.843440589938284
"Transport",90.8405,2008,88.0569546798035,2.78354532019647,0.0467980295566503,9.1249124817984,0.00248260505338861,0.31801492114305
